account_id,customer_id,account_type,balance,txn_id,txn_date,txn_type,txn_amount,txn_channel
201010,101,Loan,1505.89,1,2022-03-28,Debitt,-201.31,Online
201012,101,Loan,3183.44,4,2023-04-13,Debitt,-29.18,ATM
201020,102,Current,-486.6,6,2023-05-26,Credit,-84.59,Online
201020,102,Current,-486.6,5,2024-08-28,Credit,206.2,Online
201021,102,Savings,786.09,9,2023-09-12,Credit,200.08,Online
201030,103,Savings,931.36,12,2023-03-22,Debit,17.04,Online
201030,103,Savings,931.36,13,2023-05-27,Debit,10.44,Online
201030,103,Savings,931.36,11,2023-11-24,Credit,999999.99,Online
201031,103,Current,3047.98,18,2023-01-21,Credit,21.23,ATM
201031,103,Current,3047.98,15,2023-06-13,Debit,0,Mobile
201031,103,Current,3047.98,14,2023-07-07,Debitt,18.59,ATM
201031,103,Current,3047.98,17,2023-07-09,Debit,-15.36,Branch
201031,103,Current,3047.98,16,2023-12-14,Debit,59.41,Online
201040,104,Savings,-3777.53,21,2023-03-19,Debit,-162.21,Online
201040,104,Savings,-3777.53,19,2023-08-30,Debit,999999.99,Branch
201041,104,Savings,408.44,25,2023-02-03,Credit,-116.17,Branch
201041,104,Savings,408.44,26,2023-02-15,Debit,-13.39,Branch
201041,104,Savings,408.44,22,2023-04-30,Debit,-299.15,ATM
201041,104,Savings,408.44,23,2023-09-06,Debit,-142.58,ATM
201041,104,Savings,408.44,24,2024-11-30,Credit,472.94,Branch
