account_id,customer_id,account_type,balance,txn_id,txn_date,txn_type,txn_amount,txn_channel
100010,1,Current,500,3,2023-07-28,Debit,-11.22,Branch
100010,1,Current,600,1,2023-09-02,Debit,-285.74,ATM
100010,1,Current,700,2,2023-09-25,Debit,258.57,Online
100010,1,Current,800,4,2023-12-08,Debit,-87.41,Mobile
100011,1,Savings,3453.22,5,2023-07-14,Debit,1,Mobile
100011,1,Savings,3453.22,6,2023-07-22,Debit,1,Mobile
100012,1,Current,-1022.97,7,2022-01-16,Credit,172.07,Branch
100012,1,Current,-1022.97,9,2023-03-28,Debit,-12.51,Online
100012,1,Current,-1022.97,8,2023-11-18,Credit,78.02,ATM
100020,2,Savings,-229.6,14,2023-02-06,Debit,-35.35,Online
100020,2,Savings,-229.6,10,2023-02-11,Debit,-38.66,ATM
100020,2,Savings,-229.6,11,2023-11-30,Credit,189.83,Branch
100020,2,Savings,-229.6,12,2024-01-03,Debit,-86.58,ATM
100020,2,Savings,-229.6,13,2024-05-20,Debit,-72.46,Branch
100030,3,Loan,-306.9,16,2023-08-24,Credit,-291.8,ATM
100030,3,Loan,-306.9,15,2024-08-08,Crediit,-29.05,Online
100031,3,Savings,314.98,17,2023-01-11,Credit,5.29,Online
100031,3,Savings,314.98,18,2023-10-30,Credit,56.58,ATM
100040,4,Loan,-638.43,23,2022-11-24,Debit,-80.89,ATM
100040,4,Loan,-638.43,22,2023-05-23,Debit,18.87,ATM
